Python,Java,C++,JavaScript,C#,PHP,Ruby,Swift,Go,Rust,Software_Development_Experience,Database_Management,Networking_Skills,Web_Development_Experience,Communication_Skills,Problem_Solving_Abilities,Teamwork_Collaboration,Time_Management,Adaptability,Personal_Interests,Internship_Experience,Certifications_Training,Leadership_Experience,Career_Goals
4,1,3,1,3,3,3,2,2,3,3,2,7,4,2,9,4,3,9,Coding,Yes,No,No,cyber-security
1,2,3,2,3,3,4,4,3,2,2,1,1,4,7,4,9,1,1,Design,No,Yes,No,devrel
8,2,2,2,2,1,4,1,1,1,3,1,8,3,3,7,4,4,1,Coding,No,No,No,ai-red-teaming
7,4,4,3,3,1,3,3,1,1,8,1,7,4,4,3,3,1,3,Coding,Yes,Yes,No,mlops
9,2,2,4,1,2,3,1,1,1,7,3,4,2,4,2,3,2,1,Coding,Yes,Yes,No,ai-engineer
9,4,4,7,2,4,2,4,3,3,4,8,1,9,4,1,2,3,1,Coding,No,No,No,full-stack
4,3,2,2,1,2,2,2,4,1,3,8,1,1,3,3,2,9,2,Management,Yes,Yes,No,sql
4,4,4,8,4,3,2,3,1,3,4,1,4,7,2,3,2,1,4,Coding,No,Yes,No,angular
1,2,3,1,1,3,2,3,3,4,2,1,2,1,9,2,4,8,1,Coding,No,No,No,technical-writer
1,3,1,4,1,2,2,2,1,3,1,4,1,2,7,2,2,7,2,Research,No,No,Yes,product-manager
1,2,9,2,2,1,2,4,2,2,2,2,1,4,2,9,1,3,3,Coding,No,No,No,game-developer
4,2,2,4,3,2,2,1,4,4,8,3,7,2,1,1,2,9,1,Management,Yes,No,No,devops
3,4,2,7,1,2,1,1,1,2,2,2,8,4,3,1,2,3,7,Design,Yes,Yes,No,cloudflare
2,3,4,3,4,2,1,4,1,4,9,3,8,3,2,2,2,3,8,Design,Yes,No,No,kubernetes
4,1,3,1,4,4,4,1,2,3,3,4,4,4,7,4,2,8,1,Management,No,Yes,No,technical-writer
3,3,2,4,1,4,1,2,2,3,4,1,3,4,7,3,7,1,1,Management,No,Yes,Yes,engineering-manager
3,1,9,3,3,2,4,1,8,1,1,4,2,4,4,7,2,1,3,Management,Yes,Yes,No,blockchain
2,2,4,2,2,2,2,3,4,3,9,2,7,1,2,1,3,4,7,Research,No,No,No,terraform
3,1,3,7,3,2,1,3,2,3,4,4,9,4,4,2,2,3,8,Management,Yes,No,No,cloudflare
3,3,4,4,3,3,4,1,3,1,3,2,4,2,8,1,1,9,4,Design,No,Yes,Yes,product-manager
4,2,1,4,2,4,2,4,1,3,8,1,8,4,2,1,1,1,8,Research,Yes,No,No,terraform
7,2,1,4,3,3,1,1,2,4,4,8,4,1,2,9,1,4,2,Management,No,No,No,ai-data-scientist
4,4,3,9,3,2,4,3,1,4,3,3,3,7,4,3,4,3,3,Management,Yes,Yes,No,typescript
8,1,3,1,4,2,3,4,3,1,7,7,3,4,3,3,1,3,4,Management,Yes,No,No,backend
2,3,1,7,3,4,3,3,2,2,2,4,2,8,3,1,3,1,1,Research,Yes,Yes,No,typescript
3,3,3,8,2,4,3,3,3,4,9,2,2,2,1,2,4,1,7,Design,No,No,No,react-native
3,1,4,3,4,2,4,3,2,2,1,9,4,1,1,1,3,8,2,Management,Yes,No,No,sql
3,4,3,4,3,9,4,4,3,1,3,9,2,8,4,4,4,1,4,Research,No,No,No,php
4,3,2,4,3,4,4,3,2,3,8,4,7,1,3,4,4,1,9,Management,No,Yes,No,terraform
7,4,3,2,4,1,3,3,4,2,7,3,2,1,1,3,4,4,1,Research,Yes,No,No,ai-engineer
7,2,4,1,1,4,4,1,3,2,3,8,3,2,1,1,4,9,4,Coding,No,No,No,data-analyst
2,4,3,3,2,1,3,2,3,3,1,2,4,3,8,2,8,3,1,Design,No,No,Yes,engineering-manager
1,1,2,3,2,2,3,3,3,3,1,9,4,2,1,1,4,9,4,Coding,No,No,No,sql
3,1,1,2,4,2,2,3,3,4,1,8,3,1,3,4,2,8,1,Research,No,No,No,sql
7,3,4,1,2,4,4,4,4,4,3,8,3,1,3,2,3,7,1,Management,Yes,No,No,data-analyst
4,1,1,1,8,4,1,3,1,4,7,9,2,2,2,3,1,2,3,Research,No,No,No,aspnet-core
8,3,4,3,4,3,2,3,3,4,4,9,1,1,4,2,4,9,1,Research,No,No,No,data-analyst
9,3,2,1,3,1,2,2,4,4,3,8,1,1,2,8,1,3,2,Design,Yes,Yes,No,ai-data-scientist
1,4,2,9,3,4,1,4,3,1,1,4,1,7,2,2,3,4,1,Design,Yes,No,No,typescript
3,1,4,8,4,3,4,1,3,2,1,1,4,8,2,2,3,1,7,Design,No,No,No,react
2,1,1,1,2,3,4,2,3,3,9,1,7,4,2,3,2,3,7,Management,No,No,No,terraform
1,3,4,9,2,4,1,2,4,3,8,2,4,1,3,4,1,2,8,Coding,Yes,No,No,react-native
2,4,4,1,8,2,2,1,3,1,8,7,3,2,3,1,2,3,4,Coding,Yes,No,No,aspnet-core
9,3,4,4,4,4,4,2,2,2,1,4,9,2,4,7,4,4,1,Design,Yes,Yes,No,ai-red-teaming
4,1,4,9,2,3,4,4,3,4,4,4,9,1,3,4,1,1,7,Management,No,No,No,cloudflare
4,3,3,2,3,2,4,4,3,3,4,1,7,2,2,9,4,4,9,Management,No,Yes,No,cyber-security
9,4,3,2,1,2,1,4,1,3,3,3,2,3,2,7,1,2,2,Coding,No,Yes,No,ai-agents
2,4,1,2,1,3,3,2,3,3,1,4,7,1,3,8,1,3,3,Design,Yes,Yes,No,linux
1,4,2,4,3,3,1,2,2,1,8,2,9,2,2,7,4,4,2,Management,Yes,No,No,system-design
1,2,1,8,4,2,2,4,3,1,2,1,7,2,4,3,1,3,9,Management,Yes,Yes,No,cloudflare
1,1,7,2,4,2,3,4,2,2,8,4,3,4,3,9,1,2,3,Management,No,Yes,No,cpp
8,3,4,3,2,1,2,2,1,2,2,7,2,4,3,2,1,7,1,Research,No,No,No,data-analyst
3,1,2,3,9,2,4,1,2,4,7,7,4,2,1,4,3,3,3,Management,Yes,Yes,No,aspnet-core
3,3,1,2,4,3,1,4,4,2,8,2,8,3,1,8,3,4,4,Research,Yes,Yes,No,system-design
4,4,4,7,4,1,4,1,2,1,4,4,2,7,3,2,1,1,1,Research,No,No,No,typescript
8,1,4,3,1,3,4,4,4,4,9,8,1,3,2,2,2,2,4,Research,No,Yes,No,backend
2,1,2,8,3,1,2,1,1,3,2,3,3,7,3,4,4,4,1,Coding,Yes,No,No,typescript
2,1,3,4,2,2,4,4,3,3,3,8,3,1,3,1,2,9,1,Design,No,Yes,No,redis
2,3,3,3,3,2,1,1,2,2,9,1,9,2,3,2,1,2,8,Coding,No,Yes,No,docker
3,4,1,3,4,2,2,2,2,1,9,4,7,3,1,2,3,1,9,Design,Yes,No,No,docker
4,3,4,1,3,4,1,1,3,1,2,1,1,1,9,1,8,1,4,Coding,No,Yes,No,devrel
1,2,4,3,3,3,2,4,1,4,9,2,8,2,4,1,3,7,4,Coding,No,Yes,No,devops
3,3,4,7,1,2,4,4,3,4,4,1,1,9,2,4,1,2,2,Research,Yes,Yes,No,angular
3,1,8,3,2,3,4,1,1,1,1,4,2,4,1,8,2,4,4,Design,No,Yes,No,game-developer
4,4,3,1,4,1,1,4,1,4,3,1,9,1,3,3,3,3,8,Coding,Yes,Yes,No,aws
2,4,1,3,3,4,1,3,4,1,7,1,7,1,3,3,2,1,9,Research,No,No,No,terraform
8,3,3,2,1,1,2,4,3,3,2,9,4,1,3,7,3,1,3,Research,No,No,No,ai-data-scientist
1,1,2,3,3,3,2,1,1,3,8,2,9,3,2,4,1,8,4,Design,Yes,Yes,No,devops
7,3,3,8,4,4,4,3,4,1,1,8,3,9,3,1,3,3,1,Management,No,Yes,No,full-stack
8,4,4,3,2,2,2,4,3,2,4,4,8,4,1,9,4,4,2,Coding,No,Yes,No,ai-red-teaming
9,2,2,2,1,2,2,4,4,4,3,2,1,2,2,8,1,1,3,Management,No,No,No,ai-agents
2,1,1,3,3,1,2,3,1,3,8,2,9,1,4,3,2,9,4,Coding,Yes,Yes,No,devops
2,3,1,9,3,1,1,3,1,4,9,7,2,2,2,4,3,2,1,Design,No,Yes,No,nodejs
9,2,2,4,1,1,1,4,4,1,8,7,4,1,3,2,1,4,1,Research,No,Yes,No,backend
3,1,7,3,2,2,3,1,7,2,4,3,3,4,4,9,4,4,2,Management,Yes,No,No,blockchain
2,1,4,3,2,1,3,3,1,1,9,4,9,4,2,2,3,4,7,Coding,Yes,Yes,No,terraform
3,2,8,4,1,3,2,1,4,1,8,1,2,2,1,8,3,3,4,Coding,No,No,No,cpp
8,4,3,2,3,2,4,4,2,3,2,8,1,4,1,3,3,8,3,Design,Yes,Yes,No,data-analyst
4,3,1,8,3,4,1,4,3,1,2,8,4,2,3,2,2,1,2,Management,No,Yes,No,mongodb
7,3,4,4,3,4,4,2,4,1,1,3,7,3,4,7,2,2,1,Coding,Yes,Yes,No,ai-red-teaming
4,1,1,4,2,8,1,2,4,3,2,9,2,7,4,3,2,2,1,Research,No,Yes,No,php
1,4,1,4,2,4,3,1,1,3,1,1,2,4,8,4,9,3,3,Coding,No,Yes,No,devrel
7,3,3,4,1,1,1,2,1,1,8,1,1,1,3,8,4,1,4,Management,Yes,No,No,python
4,2,2,2,4,1,4,3,1,2,1,4,2,2,8,3,3,9,3,Management,No,Yes,No,technical-writer
1,3,1,7,2,2,4,3,2,3,4,4,4,7,1,3,4,1,1,Coding,Yes,Yes,No,frontend
7,1,2,4,3,3,4,1,3,1,3,1,1,2,1,8,2,4,2,Research,Yes,Yes,No,ai-agents
3,3,4,8,3,1,2,2,1,3,4,2,2,7,4,1,2,4,1,Coding,Yes,No,No,angular
9,3,4,4,4,1,1,4,3,4,8,4,4,4,3,2,1,1,2,Coding,Yes,No,No,ai-engineer
3,2,3,9,3,3,1,1,2,4,4,3,4,8,3,1,3,2,7,Research,Yes,No,No,react
4,1,1,9,1,4,2,3,4,4,1,2,1,9,4,3,3,2,9,Coding,No,No,No,react
3,2,4,2,3,3,2,2,1,1,2,1,7,3,1,8,1,3,4,Coding,Yes,Yes,No,linux
2,3,1,3,4,3,2,4,3,3,3,4,3,3,9,1,9,2,3,Design,No,Yes,No,devrel
2,4,3,9,4,2,4,4,1,3,3,3,3,9,4,3,3,3,1,Coding,No,Yes,No,frontend
3,1,4,2,2,1,2,2,4,1,1,4,8,4,3,9,3,4,9,Research,Yes,No,No,cyber-security
8,1,1,4,2,4,1,1,1,2,8,1,9,3,1,1,4,3,3,Management,No,Yes,No,mlops
4,7,9,1,3,3,1,4,3,4,3,4,3,2,3,8,4,1,2,Management,No,Yes,No,computer-science
3,4,2,7,2,4,4,1,3,1,7,7,1,4,4,4,4,1,4,Research,No,No,No,nodejs
3,3,2,4,3,1,2,4,3,8,9,3,3,1,1,9,1,3,2,Design,No,No,No,rust
3,2,7,1,3,3,4,1,4,4,7,4,4,3,2,9,1,3,2,Research,No,Yes,No,cpp
9,2,2,1,4,1,3,2,1,1,1,7,1,1,1,2,1,9,4,Design,No,No,No,data-analyst
3,2,2,2,4,3,1,4,2,1,4,4,3,1,9,2,4,7,1,Research,Yes,No,Yes,product-manager
1,7,2,1,4,4,3,2,3,4,9,1,3,3,3,2,4,1,8,Coding,No,Yes,No,android
2,4,1,4,1,4,1,4,1,9,9,2,2,3,3,7,4,2,3,Design,No,No,No,rust
1,3,2,8,4,1,1,4,1,3,1,1,1,7,2,3,3,4,7,Coding,No,Yes,No,vue
1,4,1,4,1,2,4,3,1,1,1,8,3,2,4,2,3,8,3,Research,Yes,Yes,No,redis
7,3,2,2,4,2,3,3,4,2,2,2,9,1,4,9,2,4,3,Coding,Yes,No,No,ai-red-teaming
1,2,1,8,4,1,1,4,1,4,3,3,1,7,4,3,2,2,8,Coding,Yes,No,No,vue
9,2,3,3,3,3,2,1,4,2,7,3,4,4,4,7,4,1,2,Management,Yes,No,No,python
3,1,3,1,3,1,2,4,2,1,2,2,2,2,8,4,4,8,4,Design,No,No,Yes,product-manager
4,3,1,7,4,2,3,2,4,2,3,2,3,9,3,1,2,4,4,Design,Yes,Yes,No,typescript
4,2,2,9,3,3,4,4,3,2,1,4,1,9,1,1,3,1,1,Research,Yes,No,No,frontend
2,3,4,3,2,1,4,3,1,2,3,2,3,4,8,1,4,1,8,Coding,Yes,Yes,No,ux-design
4,3,3,9,3,1,2,1,3,4,1,3,7,3,2,3,4,1,7,Research,Yes,Yes,No,cloudflare
2,2,3,3,2,2,3,3,4,1,4,4,7,1,4,9,2,4,7,Research,Yes,Yes,No,cyber-security
3,3,3,3,2,4,1,3,3,4,2,3,8,1,3,7,4,3,3,Design,No,No,No,linux
3,2,2,1,2,4,4,2,3,3,2,4,9,4,1,7,3,3,7,Research,Yes,No,No,cyber-security
1,2,2,3,3,1,2,4,2,4,1,2,1,4,7,4,9,2,3,Coding,No,No,Yes,engineering-manager
1,1,3,8,3,4,3,4,1,1,4,1,3,7,2,2,3,3,9,Design,No,No,No,vue
3,4,3,2,1,8,4,2,3,1,2,7,4,7,2,1,3,2,2,Research,No,Yes,No,php
9,2,2,2,2,4,4,4,2,3,9,2,1,4,3,9,1,3,4,Management,No,No,No,python
2,2,4,2,2,1,4,1,2,2,2,1,9,2,2,3,3,1,9,Research,No,No,No,aws
2,4,4,9,4,4,4,2,4,4,8,9,1,4,3,3,3,1,2,Coding,No,No,No,nodejs
2,3,2,8,4,1,3,1,3,4,3,2,9,1,2,3,1,4,9,Research,Yes,Yes,No,cloudflare
3,3,4,3,1,3,4,3,3,1,2,1,2,2,4,8,4,8,4,Coding,Yes,Yes,No,qa
3,1,1,7,4,4,4,1,1,1,4,2,1,7,3,4,3,2,4,Management,Yes,No,No,frontend
7,3,2,2,3,2,1,2,2,3,7,9,2,1,2,3,4,2,1,Management,No,Yes,No,backend
1,1,2,9,1,3,2,4,4,1,3,2,2,9,3,4,1,3,7,Design,No,No,No,react
4,2,3,4,1,4,4,4,4,3,1,4,2,1,2,9,4,9,4,Research,No,Yes,No,qa
2,2,4,1,4,3,1,1,2,1,1,1,1,4,9,4,9,4,2,Coding,No,No,Yes,engineering-manager
2,4,4,2,1,3,3,2,4,3,1,3,1,4,9,4,7,3,3,Research,Yes,Yes,Yes,engineering-manager
3,4,1,1,4,1,2,3,2,4,4,1,3,4,4,8,1,7,1,Coding,No,Yes,No,qa
3,3,2,2,4,7,1,1,3,4,4,8,2,7,3,4,1,2,3,Research,No,Yes,No,php
1,2,4,1,2,2,4,4,2,4,4,1,4,4,9,4,8,1,3,Coding,Yes,Yes,Yes,engineering-manager
3,4,1,4,2,2,4,2,1,4,1,4,2,3,1,7,4,7,2,Research,No,Yes,No,qa
1,1,1,3,1,2,1,4,1,1,4,2,4,1,8,3,1,9,2,Design,No,Yes,No,technical-writer
8,1,3,4,2,3,3,3,2,4,3,9,1,1,4,1,3,8,2,Management,No,No,No,data-analyst
2,4,3,2,4,2,3,2,1,4,1,9,1,2,3,1,3,9,4,Design,No,No,No,redis
1,4,4,3,2,1,1,2,4,4,8,2,7,3,4,3,3,7,3,Coding,Yes,No,No,devops
3,2,2,9,1,2,4,2,2,3,2,1,8,2,4,1,2,4,7,Management,No,Yes,No,cloudflare
3,3,4,1,4,1,4,4,1,4,4,9,4,3,4,1,3,8,3,Coding,No,No,No,redis
1,9,9,4,4,1,4,3,3,1,2,3,1,4,4,8,1,4,2,Coding,No,Yes,No,computer-science
7,1,1,8,2,2,4,4,4,1,3,8,1,7,4,3,4,2,4,Coding,No,No,No,full-stack
1,2,2,4,2,3,4,3,3,2,4,4,1,4,8,1,8,4,4,Coding,No,No,No,devrel
1,3,3,4,4,4,2,2,1,1,9,3,7,2,1,2,3,3,8,Design,Yes,Yes,No,docker
7,2,1,3,4,3,2,3,1,4,9,4,2,2,1,1,4,1,3,Coding,Yes,No,No,ai-engineer
8,3,1,4,1,4,4,2,3,4,9,2,1,1,3,9,4,4,4,Design,No,Yes,No,python
2,1,8,3,1,1,3,4,1,2,4,3,4,2,4,7,1,3,1,Research,No,No,No,game-developer
2,1,4,3,3,1,2,4,1,2,4,3,9,2,4,9,3,4,7,Design,Yes,No,No,cyber-security
2,4,4,3,3,4,4,3,1,2,1,1,1,3,7,3,1,8,3,Design,Yes,Yes,Yes,product-manager
4,3,2,1,2,2,3,4,2,1,8,1,9,4,3,1,3,3,8,Coding,No,No,No,docker
2,1,2,2,1,4,4,3,3,3,3,9,2,4,2,3,1,9,1,Research,Yes,Yes,No,sql
3,3,1,3,4,4,1,3,2,2,3,4,4,4,9,2,3,7,3,Coding,Yes,No,No,technical-writer
3,3,2,3,4,4,1,1,3,3,1,3,8,2,4,4,4,1,8,Design,No,No,No,aws
9,3,1,9,1,3,1,4,1,3,3,9,2,7,1,1,3,4,1,Management,Yes,No,No,full-stack
9,3,1,8,1,1,4,4,1,3,2,7,3,8,2,3,3,3,3,Coding,No,No,No,full-stack
2,1,2,4,4,3,3,2,3,1,9,4,8,4,3,3,2,4,9,Design,Yes,Yes,No,terraform
1,3,4,4,3,1,3,3,1,2,9,2,9,4,4,2,1,2,8,Management,No,No,No,terraform
4,4,3,2,4,1,3,1,4,3,4,7,1,1,4,2,3,9,1,Management,Yes,No,No,sql
9,4,2,3,3,1,3,1,2,2,7,2,4,2,4,1,3,2,3,Design,No,No,No,ai-engineer
3,3,1,9,1,2,3,1,1,1,3,1,1,9,3,1,2,1,4,Management,Yes,No,No,typescript
8,1,4,8,4,3,3,2,1,2,4,9,3,7,3,3,3,4,1,Management,No,No,No,full-stack
2,3,2,1,2,4,1,2,2,1,2,9,1,2,4,4,4,7,4,Research,No,Yes,No,sql
7,3,2,3,1,1,1,3,1,2,2,8,1,4,2,4,3,7,1,Coding,No,Yes,No,data-analyst
3,3,2,8,1,2,3,2,3,2,4,3,3,8,2,1,3,2,3,Coding,No,No,No,frontend
9,4,4,2,4,4,3,3,2,4,8,1,3,4,1,2,2,4,2,Coding,No,Yes,No,ai-engineer
1,1,2,3,1,3,4,3,2,4,7,2,7,1,2,3,1,4,7,Design,Yes,Yes,No,docker
4,3,3,1,1,4,3,3,4,3,3,3,1,4,8,3,3,2,7,Design,No,No,No,ux-design
2,2,3,1,3,1,3,3,2,4,7,3,8,4,3,8,1,4,4,Research,No,Yes,No,system-design
1,3,1,3,3,1,4,4,4,3,1,3,3,2,8,1,3,3,7,Research,No,Yes,No,ux-design
2,2,1,2,1,2,3,4,4,1,8,1,8,2,1,2,4,7,2,Research,Yes,No,No,devops
3,1,4,2,3,4,4,1,1,4,4,8,4,2,4,4,1,7,2,Design,No,No,No,redis
2,3,1,1,4,1,4,4,3,1,7,4,7,2,1,3,1,1,8,Management,No,No,No,kubernetes
8,1,1,9,2,4,3,2,3,2,1,9,1,7,4,4,1,4,1,Management,Yes,No,No,full-stack
1,4,2,4,3,7,2,3,2,4,4,8,3,8,1,1,2,3,2,Research,No,No,No,php
4,2,2,7,4,1,3,2,2,2,3,4,7,1,1,1,3,1,7,Design,No,No,No,cloudflare
8,1,2,4,1,1,1,2,3,3,9,4,1,4,3,8,1,3,3,Design,No,Yes,No,python
4,4,1,2,4,4,1,4,2,1,4,7,2,4,1,2,2,7,1,Research,Yes,Yes,No,redis
2,2,3,1,1,1,2,2,2,4,4,8,1,1,2,2,3,9,4,Coding,No,Yes,No,redis
2,2,1,2,3,8,1,1,2,2,2,9,2,8,1,3,2,2,2,Management,Yes,No,No,php
4,3,1,7,3,2,3,4,3,4,4,2,7,2,4,1,1,2,8,Coding,Yes,No,No,cloudflare
8,4,4,1,1,3,3,2,2,3,3,8,3,2,4,3,1,7,1,Design,No,No,No,data-analyst
2,1,2,2,3,4,1,3,3,4,2,3,1,3,9,4,9,3,3,Management,Yes,Yes,Yes,engineering-manager
3,2,2,7,3,1,2,3,4,4,3,3,2,7,1,1,2,4,9,Coding,No,Yes,No,vue
2,1,1,9,1,4,4,2,1,2,7,1,1,3,1,4,1,4,7,Design,Yes,No,No,react-native
3,2,1,7,4,4,1,1,3,3,4,2,4,8,4,4,4,3,3,Coding,No,No,No,typescript
2,4,4,3,2,4,4,1,4,3,4,8,4,4,3,3,1,8,3,Management,No,Yes,No,sql
3,1,2,7,1,1,2,1,2,4,1,3,3,7,2,1,4,1,9,Research,Yes,No,No,vue
4,2,3,2,3,1,3,4,3,2,3,1,2,2,7,2,9,3,1,Research,No,No,Yes,engineering-manager
4,4,1,9,1,4,3,2,1,4,8,9,1,3,2,1,4,1,2,Coding,No,Yes,No,nodejs
3,2,3,3,2,1,1,3,2,1,4,2,7,3,2,9,3,4,2,Design,Yes,Yes,No,linux
4,2,2,9,3,2,3,3,3,1,2,3,8,2,3,3,4,3,8,Coding,Yes,Yes,No,cloudflare
3,3,1,9,1,4,1,1,2,4,1,1,3,7,4,1,3,2,8,Coding,Yes,Yes,No,vue
1,1,4,2,1,3,4,4,2,1,8,1,8,4,3,3,3,7,1,Research,No,Yes,No,devops
3,3,2,7,1,1,1,4,1,3,3,3,2,7,1,2,3,2,3,Coding,No,Yes,No,typescript
3,2,4,3,4,3,4,2,3,2,4,1,4,1,9,3,1,8,3,Management,Yes,No,No,technical-writer
1,3,1,8,3,2,1,4,2,3,2,4,3,8,4,2,4,3,7,Management,No,Yes,No,react
3,2,3,2,1,1,2,4,3,2,4,1,8,1,1,3,2,2,7,Management,No,Yes,No,aws
3,4,4,7,4,3,2,3,4,1,3,8,3,4,3,1,3,3,4,Design,No,Yes,No,mongodb
2,2,1,7,1,1,3,2,4,1,9,9,4,2,3,4,1,1,2,Research,No,Yes,No,nodejs
9,4,1,4,2,3,1,1,3,3,9,4,8,1,2,4,4,2,1,Design,No,No,No,mlops
7,1,2,3,2,2,1,3,2,4,1,2,9,2,2,7,2,1,1,Research,No,No,No,ai-red-teaming
7,2,3,9,3,2,3,3,2,2,2,9,2,7,3,1,3,1,1,Coding,No,Yes,No,full-stack
2,1,1,9,3,2,1,4,1,4,1,2,4,7,4,1,3,3,9,Design,No,No,No,react
3,8,8,4,2,2,1,3,2,1,3,2,4,3,1,7,1,2,1,Design,Yes,Yes,No,computer-science
9,1,2,2,2,1,4,1,1,4,2,4,9,1,3,9,4,2,2,Design,Yes,Yes,No,ai-red-teaming
7,3,3,1,4,2,3,2,2,2,3,1,9,2,2,9,3,1,2,Design,Yes,No,No,ai-red-teaming
7,2,4,1,3,3,3,4,2,2,8,2,9,3,1,2,3,4,2,Research,Yes,No,No,mlops
4,2,2,2,1,3,1,2,2,2,8,4,9,3,2,1,1,4,9,Coding,No,No,No,kubernetes
2,2,4,2,2,2,2,3,2,9,9,4,2,2,4,9,4,1,1,Design,Yes,Yes,No,rust
1,1,2,7,1,1,4,1,1,1,9,3,2,3,2,2,4,3,7,Coding,Yes,No,No,react-native
8,4,3,2,2,1,3,4,4,4,2,7,2,4,3,8,1,4,1,Management,No,Yes,No,ai-data-scientist
8,4,1,1,1,4,2,4,1,3,2,7,4,1,4,9,4,3,3,Coding,Yes,No,No,ai-data-scientist
3,4,4,7,1,3,4,1,4,2,3,7,2,2,1,4,2,1,4,Management,Yes,Yes,No,mongodb
2,1,3,7,2,2,2,3,4,2,4,9,1,4,3,4,3,2,2,Design,Yes,Yes,No,mongodb
3,1,2,9,4,1,3,1,3,4,4,1,4,7,2,3,4,2,3,Design,Yes,No,No,angular
3,2,4,8,2,4,3,1,1,3,9,3,2,2,4,2,1,2,9,Management,No,No,No,react-native
4,4,4,9,3,4,1,1,2,3,8,9,1,2,4,1,1,1,1,Design,Yes,No,No,nodejs
1,2,1,9,1,2,2,1,4,3,9,9,1,4,2,2,2,3,3,Design,Yes,Yes,No,nodejs
9,3,4,1,1,2,2,1,4,1,1,7,2,1,4,8,3,4,2,Research,No,Yes,No,ai-data-scientist
